customer_id,age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,Mortgage,Pension,Savings
15,45,12,45,0,0,0,0,65,13453.0,2,33,36,0,4,2,1,14,19,7.602,0,0,0
16,43,12,43,0,0,0,0,65,13453.0,2,34,36,0,0,3,2,14,19,10.143,0,0,0
30,23,0,23,0,0,0,0,65,13453.0,2,30,36,0,1,0,0,14,19,0.0,1,1,1
42,35,8,35,1,0,0,0,65,13453.0,2,22,24,0,1,0,0,14,19,0.0,1,1,1
52,43,12,43,1,0,0,0,47,14124.0,3,40,48,3,1,0,0,16,35,0.0,1,1,1
57,51,19,51,1,0,0,0,50,14838.0,2,33,36,3,0,0,0,9,39,0.0,1,1,1
74,31,0,31,1,0,0,0,50,14838.0,3,0,12,3,3,0,0,9,39,0.0,1,1,1
74,31,0,31,1,0,0,0,50,14838.0,3,0,12,3,3,0,0,9,39,0.0,1,1,1
89,46,11,46,1,0,0,0,32,14783.0,2,6,12,6,3,2,1,25,42,7.799,0,0,0
90,70,38,70,0,0,0,0,32,14783.0,1,35,36,6,2,2,2,25,42,11.803,0,0,0
95,39,11,39,1,0,0,0,32,14783.0,2,16,24,6,2,4,3,25,42,12.407,0,0,0
105,31,0,31,0,0,0,0,32,14783.0,2,17,24,6,0,0,0,25,42,0.0,1,1,1
106,36,7,36,0,0,0,0,32,14783.0,2,-1,0,6,1,0,0,25,42,0.0,1,1,1
121,49,18,49,0,0,0,0,77,15494.0,7,28,36,1,1,2,1,6,16,10.352,0,0,0
132,38,11,38,0,0,0,0,38,15512.0,5,30,36,5,1,5,4,11,49,13.587,0,0,0
139,38,9,38,1,0,0,0,60,15535.0,7,19,24,1,1,0,0,15,24,0.0,1,1,1
147,37,7,37,1,0,0,0,58,15562.0,7,11,24,1,0,0,0,10,31,0.0,1,1,1
155,42,14,42,0,0,0,0,58,15562.0,7,-2,0,1,2,0,0,10,31,0.0,1,1,1
156,34,5,34,1,0,0,0,58,15562.0,7,27,36,1,0,0,0,10,31,0.0,1,1,1
161,54,29,54,1,0,0,0,42,15576.0,1,39,48,4,0,2,1,17,40,7.702000000000001,0,0,0
164,35,6,35,0,0,0,0,42,15576.0,2,-3,0,4,1,1,0,17,40,0.0,1,1,1
181,77,48,77,1,0,0,0,60,16292.0,2,36,48,1,2,4,3,16,23,9.792,0,0,0
183,57,28,57,0,0,0,0,60,16292.0,2,15,24,1,7,1,1,16,23,10.299,0,0,0
191,24,0,24,0,0,0,0,60,16287.0,3,17,24,1,1,0,0,7,32,0.0,1,1,1
193,40,10,40,0,0,0,0,60,16287.0,3,41,48,1,0,1,1,7,32,11.563,0,0,0
199,37,3,37,0,0,0,0,60,16287.0,3,39,48,1,0,0,0,7,32,0.0,1,1,1
203,46,17,46,0,0,0,0,41,16347.0,7,30,36,4,1,0,0,11,46,0.0,1,1,1
204,18,0,18,0,0,0,0,41,16347.0,7,19,24,4,1,5,5,11,46,11.929,0,0,0
210,42,13,42,0,0,0,0,57,16959.0,2,40,48,2,2,3,2,9,33,9.571,0,0,0
210,42,13,42,0,0,0,0,57,16959.0,2,40,48,2,2,3,2,9,33,9.571,0,0,0
222,29,2,29,1,0,0,0,66,17202.0,6,26,36,0,1,0,0,7,26,0.0,1,1,1
234,29,0,29,0,0,0,0,52,17570.0,5,22,24,3,0,0,0,12,35,0.0,1,1,1
236,41,13,41,1,0,0,0,61,17790.0,7,27,36,1,1,3,2,6,31,13.441,0,0,0
236,41,13,41,1,0,0,0,61,17790.0,7,27,36,1,1,3,2,6,31,13.441,0,0,0
252,43,14,43,0,0,0,0,61,17790.0,7,6,12,1,0,0,0,6,31,0.0,1,1,1
257,55,26,55,0,0,0,0,61,17790.0,6,7,12,1,1,0,0,6,31,0.0,1,1,1
259,34,4,34,0,0,0,0,61,17790.0,7,18,24,1,1,0,0,6,31,0.0,1,1,1
260,47,15,47,0,0,0,0,61,17790.0,7,13,24,1,0,0,0,6,31,0.0,1,1,1
265,50,24,50,1,0,0,0,61,17790.0,6,27,36,1,0,1,1,6,31,9.199,0,0,0
